乗車駅名,降車駅名,人員
中央弘前,中央弘前,0
中央弘前,弘高下,10
中央弘前,弘前学院大前,38
中央弘前,聖愛中高前,19
中央弘前,千年,10
中央弘前,小栗山,0
中央弘前,松木平,2
中央弘前,津軽大沢,5
中央弘前,義塾高校前,9
中央弘前,石川,6
中央弘前,石川プール前,1
中央弘前,鯖石,4
中央弘前,宿川原,5
中央弘前,大鰐,40
弘高下,中央弘前,6
弘高下,弘高下,0
弘高下,弘前学院大前,0
弘高下,聖愛中高前,1
弘高下,千年,0
弘高下,小栗山,0
弘高下,松木平,1
弘高下,津軽大沢,1
弘高下,義塾高校前,0
弘高下,石川,2
弘高下,石川プール前,0
弘高下,鯖石,1
弘高下,宿川原,2
弘高下,大鰐,5
弘前学院大前,中央弘前,32
弘前学院大前,弘高下,0
弘前学院大前,弘前学院大前,0
弘前学院大前,聖愛中高前,2
弘前学院大前,千年,0
弘前学院大前,小栗山,1
弘前学院大前,松木平,0
弘前学院大前,津軽大沢,1
弘前学院大前,義塾高校前,2
弘前学院大前,石川,2
弘前学院大前,石川プール前,0
弘前学院大前,鯖石,0
弘前学院大前,宿川原,0
弘前学院大前,大鰐,7
聖愛中高前,中央弘前,21
聖愛中高前,弘高下,1
聖愛中高前,弘前学院大前,2
聖愛中高前,聖愛中高前,0
聖愛中高前,千年,0
聖愛中高前,小栗山,0
聖愛中高前,松木平,0
聖愛中高前,津軽大沢,0
聖愛中高前,義塾高校前,2
聖愛中高前,石川,2
聖愛中高前,石川プール前,0
聖愛中高前,鯖石,1
聖愛中高前,宿川原,0
聖愛中高前,大鰐,10
千年,中央弘前,12
千年,弘高下,1
千年,弘前学院大前,0
千年,聖愛中高前,0
千年,千年,0
千年,小栗山,0
千年,松木平,0
千年,津軽大沢,0
千年,義塾高校前,1
千年,石川,0
千年,石川プール前,0
千年,鯖石,0
千年,宿川原,0
千年,大鰐,12
小栗山,中央弘前,0
小栗山,弘高下,0
小栗山,弘前学院大前,0
小栗山,聖愛中高前,0
小栗山,千年,0
小栗山,小栗山,0
小栗山,松木平,0
小栗山,津軽大沢,0
小栗山,義塾高校前,0
小栗山,石川,0
小栗山,石川プール前,0
小栗山,鯖石,0
小栗山,宿川原,0
小栗山,大鰐,1
松木平,中央弘前,1
松木平,弘高下,0
松木平,弘前学院大前,0
松木平,聖愛中高前,0
松木平,千年,0
松木平,小栗山,0
松木平,松木平,0
松木平,津軽大沢,0
松木平,義塾高校前,0
松木平,石川,0
松木平,石川プール前,0
松木平,鯖石,0
松木平,宿川原,0
松木平,大鰐,2
津軽大沢,中央弘前,5
津軽大沢,弘高下,0
津軽大沢,弘前学院大前,0
津軽大沢,聖愛中高前,1
津軽大沢,千年,0
津軽大沢,小栗山,0
津軽大沢,松木平,1
津軽大沢,津軽大沢,0
津軽大沢,義塾高校前,0
津軽大沢,石川,0
津軽大沢,石川プール前,0
津軽大沢,鯖石,0
津軽大沢,宿川原,0
津軽大沢,大鰐,1
義塾高校前,中央弘前,6
義塾高校前,弘高下,0
義塾高校前,弘前学院大前,3
義塾高校前,聖愛中高前,5
義塾高校前,千年,1
義塾高校前,小栗山,0
義塾高校前,松木平,0
義塾高校前,津軽大沢,0
義塾高校前,義塾高校前,0
義塾高校前,石川,0
義塾高校前,石川プール前,0
義塾高校前,鯖石,0
義塾高校前,宿川原,0
義塾高校前,大鰐,0
石川,中央弘前,6
石川,弘高下,1
石川,弘前学院大前,3
石川,聖愛中高前,1
石川,千年,0
石川,小栗山,0
石川,松木平,0
石川,津軽大沢,1
石川,義塾高校前,0
石川,石川,0
石川,石川プール前,0
石川,鯖石,0
石川,宿川原,0
石川,大鰐,0
石川プール前,中央弘前,0
石川プール前,弘高下,0
石川プール前,弘前学院大前,0
石川プール前,聖愛中高前,0
石川プール前,千年,0
石川プール前,小栗山,0
石川プール前,松木平,0
石川プール前,津軽大沢,0
石川プール前,義塾高校前,0
石川プール前,石川,0
石川プール前,石川プール前,0
石川プール前,鯖石,0
石川プール前,宿川原,0
石川プール前,大鰐,0
鯖石,中央弘前,2
鯖石,弘高下,1
鯖石,弘前学院大前,0
鯖石,聖愛中高前,1
鯖石,千年,0
鯖石,小栗山,0
鯖石,松木平,0
鯖石,津軽大沢,0
鯖石,義塾高校前,0
鯖石,石川,0
鯖石,石川プール前,0
鯖石,鯖石,0
鯖石,宿川原,0
鯖石,大鰐,2
宿川原,中央弘前,3
宿川原,弘高下,1
宿川原,弘前学院大前,1
宿川原,聖愛中高前,1
宿川原,千年,0
宿川原,小栗山,0
宿川原,松木平,0
宿川原,津軽大沢,0
宿川原,義塾高校前,0
宿川原,石川,0
宿川原,石川プール前,0
宿川原,鯖石,0
宿川原,宿川原,0
宿川原,大鰐,0
大鰐,中央弘前,49
大鰐,弘高下,3
大鰐,弘前学院大前,5
大鰐,聖愛中高前,11
大鰐,千年,7
大鰐,小栗山,0
大鰐,松木平,2
大鰐,津軽大沢,1
大鰐,義塾高校前,2
大鰐,石川,1
大鰐,石川プール前,0
大鰐,鯖石,2
大鰐,宿川原,0
大鰐,大鰐,0
