乗車駅名,降車駅名,人員
中央弘前,中央弘前,0
中央弘前,弘高下,22
中央弘前,弘前学院大前,53
中央弘前,聖愛中高前,43
中央弘前,千年,38
中央弘前,小栗山,1
中央弘前,松木平,10
中央弘前,津軽大沢,16
中央弘前,義塾高校前,90
中央弘前,石川,25
中央弘前,石川プール前,2
中央弘前,鯖石,2
中央弘前,宿川原,8
中央弘前,大鰐,58
弘高下,中央弘前,14
弘高下,弘高下,0
弘高下,弘前学院大前,1
弘高下,聖愛中高前,11
弘高下,千年,7
弘高下,小栗山,0
弘高下,松木平,2
弘高下,津軽大沢,3
弘高下,義塾高校前,16
弘高下,石川,12
弘高下,石川プール前,1
弘高下,鯖石,0
弘高下,宿川原,2
弘高下,大鰐,18
弘前学院大前,中央弘前,67
弘前学院大前,弘高下,2
弘前学院大前,弘前学院大前,0
弘前学院大前,聖愛中高前,1
弘前学院大前,千年,9
弘前学院大前,小栗山,0
弘前学院大前,松木平,2
弘前学院大前,津軽大沢,3
弘前学院大前,義塾高校前,11
弘前学院大前,石川,6
弘前学院大前,石川プール前,3
弘前学院大前,鯖石,9
弘前学院大前,宿川原,4
弘前学院大前,大鰐,35
聖愛中高前,中央弘前,49
聖愛中高前,弘高下,6
聖愛中高前,弘前学院大前,3
聖愛中高前,聖愛中高前,0
聖愛中高前,千年,0
聖愛中高前,小栗山,0
聖愛中高前,松木平,1
聖愛中高前,津軽大沢,2
聖愛中高前,義塾高校前,10
聖愛中高前,石川,2
聖愛中高前,石川プール前,0
聖愛中高前,鯖石,1
聖愛中高前,宿川原,1
聖愛中高前,大鰐,25
千年,中央弘前,28
千年,弘高下,4
千年,弘前学院大前,8
千年,聖愛中高前,0
千年,千年,0
千年,小栗山,0
千年,松木平,0
千年,津軽大沢,0
千年,義塾高校前,17
千年,石川,0
千年,石川プール前,0
千年,鯖石,0
千年,宿川原,0
千年,大鰐,7
小栗山,中央弘前,2
小栗山,弘高下,0
小栗山,弘前学院大前,0
小栗山,聖愛中高前,0
小栗山,千年,0
小栗山,小栗山,0
小栗山,松木平,0
小栗山,津軽大沢,0
小栗山,義塾高校前,3
小栗山,石川,1
小栗山,石川プール前,0
小栗山,鯖石,0
小栗山,宿川原,0
小栗山,大鰐,0
松木平,中央弘前,5
松木平,弘高下,1
松木平,弘前学院大前,1
松木平,聖愛中高前,1
松木平,千年,0
松木平,小栗山,0
松木平,松木平,0
松木平,津軽大沢,1
松木平,義塾高校前,0
松木平,石川,0
松木平,石川プール前,0
松木平,鯖石,2
松木平,宿川原,1
松木平,大鰐,4
津軽大沢,中央弘前,10
津軽大沢,弘高下,2
津軽大沢,弘前学院大前,1
津軽大沢,聖愛中高前,0
津軽大沢,千年,4
津軽大沢,小栗山,0
津軽大沢,松木平,0
津軽大沢,津軽大沢,0
津軽大沢,義塾高校前,0
津軽大沢,石川,9
津軽大沢,石川プール前,0
津軽大沢,鯖石,0
津軽大沢,宿川原,1
津軽大沢,大鰐,4
義塾高校前,中央弘前,122
義塾高校前,弘高下,11
義塾高校前,弘前学院大前,8
義塾高校前,聖愛中高前,14
義塾高校前,千年,21
義塾高校前,小栗山,2
義塾高校前,松木平,0
義塾高校前,津軽大沢,0
義塾高校前,義塾高校前,0
義塾高校前,石川,0
義塾高校前,石川プール前,1
義塾高校前,鯖石,0
義塾高校前,宿川原,1
義塾高校前,大鰐,11
石川,中央弘前,19
石川,弘高下,2
石川,弘前学院大前,9
石川,聖愛中高前,1
石川,千年,0
石川,小栗山,1
石川,松木平,0
石川,津軽大沢,28
石川,義塾高校前,1
石川,石川,0
石川,石川プール前,0
石川,鯖石,0
石川,宿川原,0
石川,大鰐,1
石川プール前,中央弘前,7
石川プール前,弘高下,0
石川プール前,弘前学院大前,2
石川プール前,聖愛中高前,0
石川プール前,千年,0
石川プール前,小栗山,0
石川プール前,松木平,0
石川プール前,津軽大沢,0
石川プール前,義塾高校前,2
石川プール前,石川,0
石川プール前,石川プール前,0
石川プール前,鯖石,0
石川プール前,宿川原,0
石川プール前,大鰐,1
鯖石,中央弘前,2
鯖石,弘高下,2
鯖石,弘前学院大前,9
鯖石,聖愛中高前,2
鯖石,千年,0
鯖石,小栗山,0
鯖石,松木平,2
鯖石,津軽大沢,0
鯖石,義塾高校前,1
鯖石,石川,0
鯖石,石川プール前,0
鯖石,鯖石,0
鯖石,宿川原,0
鯖石,大鰐,14
宿川原,中央弘前,10
宿川原,弘高下,2
宿川原,弘前学院大前,3
宿川原,聖愛中高前,8
宿川原,千年,1
宿川原,小栗山,0
宿川原,松木平,1
宿川原,津軽大沢,0
宿川原,義塾高校前,0
宿川原,石川,0
宿川原,石川プール前,0
宿川原,鯖石,0
宿川原,宿川原,0
宿川原,大鰐,0
大鰐,中央弘前,89
大鰐,弘高下,42
大鰐,弘前学院大前,34
大鰐,聖愛中高前,45
大鰐,千年,10
大鰐,小栗山,1
大鰐,松木平,4
大鰐,津軽大沢,4
大鰐,義塾高校前,10
大鰐,石川,2
大鰐,石川プール前,1
大鰐,鯖石,25
大鰐,宿川原,0
大鰐,大鰐,0
