乗車停留所名,降車停留所名,人員
01_渋谷区役所,04_美竹の丘,2
01_渋谷区役所,05_宮下公園前,10
01_渋谷区役所,06_渋谷駅ハチ公口,72
01_渋谷区役所,07_文化総合センター大和田,41
01_渋谷区役所,08_JT前,47
01_渋谷区役所,09_渋谷駅東口,13
01_渋谷区役所,10_渋谷2丁目,15
01_渋谷区役所,11_青山学院西門,4
01_渋谷区役所,12_渋谷4丁目,20
01_渋谷区役所,13_郷土博物館・文学館,8
01_渋谷区役所,14_渋谷図書館入口,1
01_渋谷区役所,15_渋谷車庫前,14
01_渋谷区役所,16_東2丁目,13
01_渋谷区役所,17_恵比寿区民施設,23
01_渋谷区役所,18_恵比寿駅東口,29
01_渋谷区役所,19_恵比寿1丁目,8
01_渋谷区役所,20_新橋区民施設,18
01_渋谷区役所,21_豊沢児童遊園地,15
01_渋谷区役所,22_広尾1丁目,2
01_渋谷区役所,23_新豊沢橋,2
01_渋谷区役所,24_恵比寿社会教育館,20
01_渋谷区役所,25_恵比寿4丁目,10
01_渋谷区役所,26_加計塚小学校,9
01_渋谷区役所,27_恵比寿ガーデンプレイス,13
01_渋谷区役所,28_恵比寿南1丁目,4
01_渋谷区役所,29_恵比寿駅入口,2
01_渋谷区役所,30_恵比寿公園,4
01_渋谷区役所,32_恵比寿西2丁目,6
01_渋谷区役所,33_代官山保育園・ログロード代官山,2
01_渋谷区役所,34_代官山駅,7
01_渋谷区役所,35_猿楽トレーニングジム入口・代官山Tサイト,14
01_渋谷区役所,36_都立一商,5
01_渋谷区役所,37_鉢山町交番,10
01_渋谷区役所,40_渋谷駅西口,50
01_渋谷区役所,41_神南郵便局,1
01_渋谷区役所,43_消防署入口,3
01_渋谷区役所,44_かんなみの杜・渋谷,2
01_渋谷区役所,45_国立代々木競技場,13
02_国立代々木競技場,05_宮下公園前,1
02_国立代々木競技場,06_渋谷駅ハチ公口,5
02_国立代々木競技場,07_文化総合センター大和田,9
02_国立代々木競技場,08_JT前,28
02_国立代々木競技場,10_渋谷2丁目,4
02_国立代々木競技場,11_青山学院西門,11
02_国立代々木競技場,12_渋谷4丁目,9
02_国立代々木競技場,13_郷土博物館・文学館,1
02_国立代々木競技場,16_東2丁目,1
02_国立代々木競技場,22_広尾1丁目,1
02_国立代々木競技場,28_恵比寿南1丁目,2
02_国立代々木競技場,40_渋谷駅西口,1
02_国立代々木競技場,43_消防署入口,2
02_国立代々木競技場,44_かんなみの杜・渋谷,5
02_国立代々木競技場,46_渋谷区役所,19
03_かんなみの杜・渋谷,05_宮下公園前,3
03_かんなみの杜・渋谷,06_渋谷駅ハチ公口,5
03_かんなみの杜・渋谷,07_文化総合センター大和田,11
03_かんなみの杜・渋谷,08_JT前,20
03_かんなみの杜・渋谷,10_渋谷2丁目,1
03_かんなみの杜・渋谷,11_青山学院西門,2
03_かんなみの杜・渋谷,12_渋谷4丁目,1
03_かんなみの杜・渋谷,13_郷土博物館・文学館,1
03_かんなみの杜・渋谷,16_東2丁目,3
03_かんなみの杜・渋谷,17_恵比寿区民施設,2
03_かんなみの杜・渋谷,18_恵比寿駅東口,2
03_かんなみの杜・渋谷,20_新橋区民施設,3
03_かんなみの杜・渋谷,22_広尾1丁目,1
03_かんなみの杜・渋谷,24_恵比寿社会教育館,1
03_かんなみの杜・渋谷,25_恵比寿4丁目,1
03_かんなみの杜・渋谷,26_加計塚小学校,3
03_かんなみの杜・渋谷,34_代官山駅,1
03_かんなみの杜・渋谷,35_猿楽トレーニングジム入口・代官山Tサイト,2
03_かんなみの杜・渋谷,40_渋谷駅西口,3
03_かんなみの杜・渋谷,43_消防署入口,1
03_かんなみの杜・渋谷,45_国立代々木競技場,8
03_かんなみの杜・渋谷,46_渋谷区役所,2
04_美竹の丘,07_文化総合センター大和田,2
04_美竹の丘,08_JT前,6
04_美竹の丘,15_渋谷車庫前,1
04_美竹の丘,18_恵比寿駅東口,1
04_美竹の丘,20_新橋区民施設,1
04_美竹の丘,24_恵比寿社会教育館,1
04_美竹の丘,27_恵比寿ガーデンプレイス,1
04_美竹の丘,35_猿楽トレーニングジム入口・代官山Tサイト,1
04_美竹の丘,46_渋谷区役所,2
05_宮下公園前,06_渋谷駅ハチ公口,4
05_宮下公園前,07_文化総合センター大和田,18
05_宮下公園前,08_JT前,24
05_宮下公園前,09_渋谷駅東口,2
05_宮下公園前,10_渋谷2丁目,2
05_宮下公園前,11_青山学院西門,3
05_宮下公園前,12_渋谷4丁目,3
05_宮下公園前,13_郷土博物館・文学館,2
05_宮下公園前,14_渋谷図書館入口,3
05_宮下公園前,15_渋谷車庫前,2
05_宮下公園前,16_東2丁目,1
05_宮下公園前,18_恵比寿駅東口,2
05_宮下公園前,19_恵比寿1丁目,2
05_宮下公園前,20_新橋区民施設,1
05_宮下公園前,21_豊沢児童遊園地,1
05_宮下公園前,23_新豊沢橋,1
05_宮下公園前,24_恵比寿社会教育館,1
05_宮下公園前,27_恵比寿ガーデンプレイス,2
05_宮下公園前,29_恵比寿駅入口,2
05_宮下公園前,33_代官山保育園・ログロード代官山,1
05_宮下公園前,34_代官山駅,4
05_宮下公園前,37_鉢山町交番,2
05_宮下公園前,40_渋谷駅西口,3
05_宮下公園前,46_渋谷区役所,3
06_渋谷駅ハチ公口,04_美竹の丘,6
06_渋谷駅ハチ公口,07_文化総合センター大和田,22
06_渋谷駅ハチ公口,08_JT前,64
06_渋谷駅ハチ公口,09_渋谷駅東口,2
06_渋谷駅ハチ公口,10_渋谷2丁目,6
06_渋谷駅ハチ公口,11_青山学院西門,9
06_渋谷駅ハチ公口,12_渋谷4丁目,24
06_渋谷駅ハチ公口,13_郷土博物館・文学館,9
06_渋谷駅ハチ公口,14_渋谷図書館入口,2
06_渋谷駅ハチ公口,15_渋谷車庫前,6
06_渋谷駅ハチ公口,16_東2丁目,5
06_渋谷駅ハチ公口,17_恵比寿区民施設,15
06_渋谷駅ハチ公口,18_恵比寿駅東口,14
06_渋谷駅ハチ公口,19_恵比寿1丁目,3
06_渋谷駅ハチ公口,20_新橋区民施設,8
06_渋谷駅ハチ公口,21_豊沢児童遊園地,3
06_渋谷駅ハチ公口,22_広尾1丁目,1
06_渋谷駅ハチ公口,23_新豊沢橋,1
06_渋谷駅ハチ公口,24_恵比寿社会教育館,11
06_渋谷駅ハチ公口,25_恵比寿4丁目,5
06_渋谷駅ハチ公口,26_加計塚小学校,4
06_渋谷駅ハチ公口,27_恵比寿ガーデンプレイス,6
06_渋谷駅ハチ公口,28_恵比寿南1丁目,3
06_渋谷駅ハチ公口,29_恵比寿駅入口,6
06_渋谷駅ハチ公口,30_恵比寿公園,5
06_渋谷駅ハチ公口,34_代官山駅,10
06_渋谷駅ハチ公口,35_猿楽トレーニングジム入口・代官山Tサイト,4
06_渋谷駅ハチ公口,36_都立一商,2
06_渋谷駅ハチ公口,37_鉢山町交番,2
06_渋谷駅ハチ公口,40_渋谷駅西口,12
06_渋谷駅ハチ公口,41_神南郵便局,17
06_渋谷駅ハチ公口,43_消防署入口,11
06_渋谷駅ハチ公口,44_かんなみの杜・渋谷,7
06_渋谷駅ハチ公口,45_国立代々木競技場,12
06_渋谷駅ハチ公口,46_渋谷区役所,75
07_文化総合センター大和田,04_美竹の丘,1
07_文化総合センター大和田,05_宮下公園前,1
07_文化総合センター大和田,06_渋谷駅ハチ公口,48
07_文化総合センター大和田,08_JT前,35
07_文化総合センター大和田,09_渋谷駅東口,4
07_文化総合センター大和田,10_渋谷2丁目,5
07_文化総合センター大和田,11_青山学院西門,1
07_文化総合センター大和田,12_渋谷4丁目,6
07_文化総合センター大和田,13_郷土博物館・文学館,12
07_文化総合センター大和田,15_渋谷車庫前,1
07_文化総合センター大和田,16_東2丁目,2
07_文化総合センター大和田,17_恵比寿区民施設,9
07_文化総合センター大和田,18_恵比寿駅東口,10
07_文化総合センター大和田,19_恵比寿1丁目,2
07_文化総合センター大和田,20_新橋区民施設,5
07_文化総合センター大和田,21_豊沢児童遊園地,5
07_文化総合センター大和田,22_広尾1丁目,1
07_文化総合センター大和田,24_恵比寿社会教育館,4
07_文化総合センター大和田,25_恵比寿4丁目,1
07_文化総合センター大和田,26_加計塚小学校,4
07_文化総合センター大和田,27_恵比寿ガーデンプレイス,1
07_文化総合センター大和田,28_恵比寿南1丁目,2
07_文化総合センター大和田,29_恵比寿駅入口,4
07_文化総合センター大和田,30_恵比寿公園,1
07_文化総合センター大和田,33_代官山保育園・ログロード代官山,1
07_文化総合センター大和田,34_代官山駅,3
07_文化総合センター大和田,35_猿楽トレーニングジム入口・代官山Tサイト,1
07_文化総合センター大和田,36_都立一商,2
07_文化総合センター大和田,37_鉢山町交番,3
07_文化総合センター大和田,40_渋谷駅西口,6
07_文化総合センター大和田,41_神南郵便局,5
07_文化総合センター大和田,43_消防署入口,4
07_文化総合センター大和田,44_かんなみの杜・渋谷,1
07_文化総合センター大和田,46_渋谷区役所,20
08_JT前,04_美竹の丘,10
08_JT前,06_渋谷駅ハチ公口,61
08_JT前,07_文化総合センター大和田,12
08_JT前,09_渋谷駅東口,24
08_JT前,10_渋谷2丁目,24
08_JT前,11_青山学院西門,9
08_JT前,12_渋谷4丁目,15
08_JT前,13_郷土博物館・文学館,4
08_JT前,15_渋谷車庫前,3
08_JT前,16_東2丁目,4
08_JT前,17_恵比寿区民施設,8
08_JT前,18_恵比寿駅東口,7
08_JT前,19_恵比寿1丁目,1
08_JT前,20_新橋区民施設,3
08_JT前,21_豊沢児童遊園地,4
08_JT前,22_広尾1丁目,1
08_JT前,24_恵比寿社会教育館,6
08_JT前,26_加計塚小学校,1
