乗車駅名,降車駅名,定期人員,定期外人員
他社線,他社線,,
他社線,高速線,,
他社線,湊川方面,,
他社線,三田方面,,
他社線,鈴蘭台,,
他社線,鈴蘭台西口,66101.45792,37797.00187
他社線,西鈴蘭台,147706.4141,108455.2681
他社線,藍那,1498.992256,2686.178056
他社線,木津,19513.66705,13240.9585
他社線,木幡,19148.41721,11222.25499
他社線,栄,31242.15439,19464.40133
他社線,押部谷,23200.03648,14868.9452
他社線,緑が丘,58762.24454,48904.98202
他社線,広野ゴルフ,14257.69593,11395.90691
他社線,志染,52811.78629,46503.56932
他社線,恵比須,16103.45967,17382.55667
他社線,三木上の丸,4672.183656,5209.557443
他社線,三木,20323.9989,21891.84813
他社線,大村,5546.793645,7599.605302
他社線,樫山,5640.807097,6367.236875
他社線,市場,942.5977507,1870.786092
他社線,小野,29924.58274,31411.70191
他社線,葉多,727.273871,787.6994072
他社線,粟生,2006.478871,8007.282736
高速線,他社線,,
高速線,高速線,,
高速線,湊川方面,,
高速線,三田方面,,
高速線,鈴蘭台,,
高速線,鈴蘭台西口,81947.76523,53862.3817
高速線,西鈴蘭台,190446.3106,135014.3637
高速線,藍那,3101.363289,2865.256594
高速線,木津,13433.68449,10278.53953
高速線,木幡,26563.8972,14553.68428
高速線,栄,44513.85299,26476.42169
高速線,押部谷,33525.63412,19459.8677
高速線,緑が丘,70555.05167,48919.01501
高速線,広野ゴルフ,16657.16905,14024.04071
高速線,志染,69000.28853,50063.27455
高速線,恵比須,19311.69244,15795.64532
高速線,三木上の丸,4927.467918,4423.554039
高速線,三木,26319.96793,21032.20266
高速線,大村,6745.465153,6772.424676
高速線,樫山,6208.215716,5893.080937
高速線,市場,2272.625749,2247.260073
高速線,小野,35047.86656,30090.3291
高速線,葉多,656.0938751,651.1946804
高速線,粟生,4022.140713,7238.542973
湊川方面,他社線,,
湊川方面,高速線,,
湊川方面,湊川方面,,
湊川方面,三田方面,,
湊川方面,鈴蘭台,,
湊川方面,鈴蘭台西口,48495.63652,38632.67317
湊川方面,西鈴蘭台,107673.2962,102360.2537
湊川方面,藍那,2186.163547,2880.416681
湊川方面,木津,16892.99099,15478.9724
湊川方面,木幡,8203.276304,10775.32394
湊川方面,栄,19226.3172,16162.98591
湊川方面,押部谷,11677.02371,14149.41528
湊川方面,緑が丘,27437.77531,30714.68242
湊川方面,広野ゴルフ,7638.377317,7925.177812
湊川方面,志染,24901.08502,28981.90577
湊川方面,恵比須,5404.319652,8931.818394
湊川方面,三木上の丸,2312.73091,2952.082551
湊川方面,三木,10221.05795,9648.313019
湊川方面,大村,3368.054723,4224.416773
湊川方面,樫山,3805.759725,4995.832009
湊川方面,市場,1115.791228,1453.391026
湊川方面,小野,14717.37852,14613.95933
湊川方面,葉多,481.8189395,267.7809901
湊川方面,粟生,3548.634729,5258.336071
三田方面,他社線,,
三田方面,高速線,,
三田方面,湊川方面,,
三田方面,三田方面,,
三田方面,鈴蘭台,,
三田方面,鈴蘭台西口,16508.38225,21754.72599
三田方面,西鈴蘭台,53097.52988,76836.09442
三田方面,藍那,847.1541794,1290.656123
三田方面,木津,6451.589772,6807.524531
三田方面,木幡,4877.187633,4727.191013
三田方面,栄,6904.67489,7346.811778
三田方面,押部谷,6307.447936,5755.00256
三田方面,緑が丘,12716.04624,12104.05426
三田方面,広野ゴルフ,1986.882225,1959.149808
三田方面,志染,10037.89457,9431.469621
三田方面,恵比須,1779.023777,3004.763469
三田方面,三木上の丸,982.5327394,1447.09929
三田方面,三木,4672.183656,4971.678108
三田方面,大村,1957.867437,2183.052643
三田方面,樫山,1284.850505,848.9649166
三田方面,市場,183.5500722,392.5009032
三田方面,小野,6499.831969,4602.821837
三田方面,葉多,0,80.9394518
三田方面,粟生,2312.73091,4138.703969
鈴蘭台,他社線,,
鈴蘭台,高速線,,
鈴蘭台,湊川方面,,
鈴蘭台,三田方面,,
鈴蘭台,鈴蘭台,,
鈴蘭台,鈴蘭台西口,19338.08896,29994.42164
鈴蘭台,西鈴蘭台,47049.37108,86043.74155
