乗車駅名,降車駅名,人員
富山,富山,0
富山,西富山,60
富山,婦中鵜坂,28
富山,速星,205
富山,千里,74
富山,越中八尾,125
富山,東八尾,5
富山,笹津,2
富山,楡原,3
富山,猪谷,38
西富山,富山,66
西富山,西富山,0
西富山,婦中鵜坂,3
西富山,速星,34
西富山,千里,5
西富山,越中八尾,6
西富山,東八尾,0
西富山,笹津,1
西富山,楡原,0
西富山,猪谷,2
婦中鵜坂,富山,29
婦中鵜坂,西富山,2
婦中鵜坂,婦中鵜坂,0
婦中鵜坂,速星,2
婦中鵜坂,千里,0
婦中鵜坂,越中八尾,2
婦中鵜坂,東八尾,0
婦中鵜坂,笹津,0
婦中鵜坂,楡原,0
婦中鵜坂,猪谷,0
速星,富山,161
速星,西富山,28
速星,婦中鵜坂,0
速星,速星,0
速星,千里,10
速星,越中八尾,36
速星,東八尾,2
速星,笹津,1
速星,楡原,0
速星,猪谷,7
千里,富山,53
千里,西富山,3
千里,婦中鵜坂,0
千里,速星,9
千里,千里,0
千里,越中八尾,2
千里,東八尾,0
千里,笹津,1
千里,楡原,0
千里,猪谷,0
越中八尾,富山,133
越中八尾,西富山,8
越中八尾,婦中鵜坂,1
越中八尾,速星,40
越中八尾,千里,2
越中八尾,越中八尾,0
越中八尾,東八尾,0
越中八尾,笹津,4
越中八尾,楡原,0
越中八尾,猪谷,1
東八尾,富山,2
東八尾,西富山,0
東八尾,婦中鵜坂,0
東八尾,速星,1
東八尾,千里,0
東八尾,越中八尾,0
東八尾,東八尾,0
東八尾,笹津,0
東八尾,楡原,0
東八尾,猪谷,0
笹津,富山,5
笹津,西富山,0
笹津,婦中鵜坂,0
笹津,速星,3
笹津,千里,0
笹津,越中八尾,1
笹津,東八尾,0
笹津,笹津,0
笹津,楡原,0
笹津,猪谷,3
楡原,富山,5
楡原,西富山,0
楡原,婦中鵜坂,0
楡原,速星,0
楡原,千里,0
楡原,越中八尾,0
楡原,東八尾,0
楡原,笹津,0
楡原,楡原,0
楡原,猪谷,2
猪谷,富山,21
猪谷,西富山,2
猪谷,婦中鵜坂,0
猪谷,速星,3
猪谷,千里,1
猪谷,越中八尾,3
猪谷,東八尾,0
猪谷,笹津,0
猪谷,楡原,2
猪谷,猪谷,0
