乗車駅名,降車駅名,人員
米原,米原,0
フジテック前,米原,24
鳥居本,米原,8
彦根,米原,6
ひこね芹川,米原,2
彦根口,米原,5
高宮,米原,1
スクリーン,米原,3
多賀大社前,米原,1
尼子,米原,4
豊郷,米原,0
愛知川,米原,3
五箇荘,米原,0
河辺の森,米原,0
八日市,米原,6
新八日市,米原,0
太郎坊宮前,米原,0
市辺,米原,0
平田,米原,0
武佐,米原,0
近江八幡,米原,0
長谷野,米原,0
大学前,米原,0
京セラ前,米原,0
桜川,米原,0
朝日大塚,米原,0
朝日野,米原,0
日野,米原,1
水口松尾,米原,0
水口,米原,0
水口石橋,米原,0
水口城南,米原,0
貴生川,米原,1
米原,フジテック前,15
フジテック前,フジテック前,0
鳥居本,フジテック前,0
彦根,フジテック前,39
ひこね芹川,フジテック前,2
彦根口,フジテック前,5
高宮,フジテック前,2
スクリーン,フジテック前,0
多賀大社前,フジテック前,1
尼子,フジテック前,0
豊郷,フジテック前,0
愛知川,フジテック前,0
五箇荘,フジテック前,1
河辺の森,フジテック前,0
八日市,フジテック前,0
新八日市,フジテック前,0
太郎坊宮前,フジテック前,0
市辺,フジテック前,0
平田,フジテック前,0
武佐,フジテック前,0
近江八幡,フジテック前,0
長谷野,フジテック前,0
大学前,フジテック前,0
京セラ前,フジテック前,0
桜川,フジテック前,1
朝日大塚,フジテック前,0
朝日野,フジテック前,0
日野,フジテック前,0
水口松尾,フジテック前,0
水口,フジテック前,0
水口石橋,フジテック前,0
水口城南,フジテック前,0
貴生川,フジテック前,0
米原,鳥居本,1
フジテック前,鳥居本,0
鳥居本,鳥居本,0
彦根,鳥居本,34
ひこね芹川,鳥居本,0
彦根口,鳥居本,3
高宮,鳥居本,0
スクリーン,鳥居本,1
多賀大社前,鳥居本,0
尼子,鳥居本,2
豊郷,鳥居本,1
愛知川,鳥居本,0
五箇荘,鳥居本,0
河辺の森,鳥居本,0
八日市,鳥居本,0
新八日市,鳥居本,0
太郎坊宮前,鳥居本,0
市辺,鳥居本,0
平田,鳥居本,0
武佐,鳥居本,0
近江八幡,鳥居本,0
長谷野,鳥居本,0
大学前,鳥居本,0
京セラ前,鳥居本,0
桜川,鳥居本,0
朝日大塚,鳥居本,0
朝日野,鳥居本,0
日野,鳥居本,0
水口松尾,鳥居本,0
水口,鳥居本,0
水口石橋,鳥居本,0
水口城南,鳥居本,0
貴生川,鳥居本,0
米原,彦根,3
フジテック前,彦根,33
鳥居本,彦根,33
彦根,彦根,0
ひこね芹川,彦根,12
彦根口,彦根,68
高宮,彦根,34
スクリーン,彦根,219
多賀大社前,彦根,49
尼子,彦根,34
豊郷,彦根,19
愛知川,彦根,18
五箇荘,彦根,3
河辺の森,彦根,6
八日市,彦根,44
新八日市,彦根,2
太郎坊宮前,彦根,3
市辺,彦根,0
平田,彦根,0
武佐,彦根,0
近江八幡,彦根,1
長谷野,彦根,1
大学前,彦根,1
京セラ前,彦根,0
桜川,彦根,1
朝日大塚,彦根,3
朝日野,彦根,1
日野,彦根,1
水口松尾,彦根,0
水口,彦根,2
水口石橋,彦根,1
水口城南,彦根,1
貴生川,彦根,1
米原,ひこね芹川,1
フジテック前,ひこね芹川,1
鳥居本,ひこね芹川,0
彦根,ひこね芹川,17
ひこね芹川,ひこね芹川,0
彦根口,ひこね芹川,2
高宮,ひこね芹川,3
スクリーン,ひこね芹川,9
多賀大社前,ひこね芹川,1
尼子,ひこね芹川,4
豊郷,ひこね芹川,7
愛知川,ひこね芹川,11
五箇荘,ひこね芹川,0
河辺の森,ひこね芹川,0
八日市,ひこね芹川,16
新八日市,ひこね芹川,0
太郎坊宮前,ひこね芹川,1
市辺,ひこね芹川,0
平田,ひこね芹川,0
武佐,ひこね芹川,0
近江八幡,ひこね芹川,0
長谷野,ひこね芹川,1
大学前,ひこね芹川,0
京セラ前,ひこね芹川,0
桜川,ひこね芹川,0
朝日大塚,ひこね芹川,0
朝日野,ひこね芹川,0
日野,ひこね芹川,1
水口松尾,ひこね芹川,2
水口,ひこね芹川,0
水口石橋,ひこね芹川,0
水口城南,ひこね芹川,0
貴生川,ひこね芹川,0
米原,彦根口,1
フジテック前,彦根口,2
鳥居本,彦根口,6
彦根,彦根口,45
ひこね芹川,彦根口,0
彦根口,彦根口,0
高宮,彦根口,2
スクリーン,彦根口,22
多賀大社前,彦根口,4
尼子,彦根口,29
豊郷,彦根口,24
愛知川,彦根口,25
五箇荘,彦根口,13
河辺の森,彦根口,1
八日市,彦根口,30
新八日市,彦根口,1
太郎坊宮前,彦根口,2
市辺,彦根口,0
平田,彦根口,0
武佐,彦根口,0
近江八幡,彦根口,1
長谷野,彦根口,2
大学前,彦根口,0
京セラ前,彦根口,2
桜川,彦根口,2
朝日大塚,彦根口,0
朝日野,彦根口,0
日野,彦根口,1
水口松尾,彦根口,0
水口,彦根口,1
水口石橋,彦根口,0
水口城南,彦根口,0
貴生川,彦根口,0
米原,高宮,1
フジテック前,高宮,0
鳥居本,高宮,1
彦根,高宮,27
ひこね芹川,高宮,0
彦根口,高宮,0
高宮,高宮,0
スクリーン,高宮,8
多賀大社前,高宮,1
尼子,高宮,9
豊郷,高宮,6
愛知川,高宮,17
五箇荘,高宮,3
河辺の森,高宮,2
八日市,高宮,13
新八日市,高宮,1
太郎坊宮前,高宮,0
市辺,高宮,0
平田,高宮,0
武佐,高宮,0
近江八幡,高宮,1
長谷野,高宮,1
大学前,高宮,1
京セラ前,高宮,0
桜川,高宮,0
朝日大塚,高宮,0
朝日野,高宮,0
日野,高宮,0
水口松尾,高宮,0
水口,高宮,2
水口石橋,高宮,0
水口城南,高宮,1
貴生川,高宮,0
米原,スクリーン,2
フジテック前,スクリーン,0
鳥居本,スクリーン,3
彦根,スクリーン,178
ひこね芹川,スクリーン,23
彦根口,スクリーン,39
高宮,スクリーン,3
スクリーン,スクリーン,0
多賀大社前,スクリーン,0
尼子,スクリーン,0
豊郷,スクリーン,4
愛知川,スクリーン,5
五箇荘,スクリーン,1
河辺の森,スクリーン,0
八日市,スクリーン,2
新八日市,スクリーン,1
太郎坊宮前,スクリーン,0
市辺,スクリーン,0
平田,スクリーン,0
武佐,スクリーン,0
近江八幡,スクリーン,0
長谷野,スクリーン,0
大学前,スクリーン,0
京セラ前,スクリーン,0
桜川,スクリーン,0
朝日大塚,スクリーン,0
朝日野,スクリーン,0
日野,スクリーン,1
水口松尾,スクリーン,0
水口,スクリーン,0
水口石橋,スクリーン,0
水口城南,スクリーン,0
貴生川,スクリーン,0
米原,多賀大社前,6
フジテック前,多賀大社前,0
鳥居本,多賀大社前,1
彦根,多賀大社前,55
ひこね芹川,多賀大社前,1
彦根口,多賀大社前,12
高宮,多賀大社前,8
スクリーン,多賀大社前,0
多賀大社前,多賀大社前,0
尼子,多賀大社前,0
豊郷,多賀大社前,0
愛知川,多賀大社前,2
五箇荘,多賀大社前,0
河辺の森,多賀大社前,0
八日市,多賀大社前,2
新八日市,多賀大社前,0
太郎坊宮前,多賀大社前,0
市辺,多賀大社前,0
平田,多賀大社前,0
武佐,多賀大社前,0
近江八幡,多賀大社前,0
長谷野,多賀大社前,0
大学前,多賀大社前,0
京セラ前,多賀大社前,0
桜川,多賀大社前,0
朝日大塚,多賀大社前,0
朝日野,多賀大社前,0
日野,多賀大社前,0
水口松尾,多賀大社前,0
水口,多賀大社前,0
水口石橋,多賀大社前,0
水口城南,多賀大社前,0
貴生川,多賀大社前,0
米原,尼子,0
フジテック前,尼子,1
鳥居本,尼子,2
彦根,尼子,32
ひこね芹川,尼子,7
彦根口,尼子,37
高宮,尼子,10
スクリーン,尼子,0
多賀大社前,尼子,1
尼子,尼子,0
豊郷,尼子,2
愛知川,尼子,7
五箇荘,尼子,1
河辺の森,尼子,1
八日市,尼子,23
新八日市,尼子,0
太郎坊宮前,尼子,1
市辺,尼子,0
平田,尼子,0
武佐,尼子,0
近江八幡,尼子,0
長谷野,尼子,0
大学前,尼子,0
京セラ前,尼子,1
桜川,尼子,1
朝日大塚,尼子,0
朝日野,尼子,1
日野,尼子,0
水口松尾,尼子,0
水口,尼子,0
水口石橋,尼子,0
水口城南,尼子,1
貴生川,尼子,1
米原,豊郷,0
フジテック前,豊郷,0
鳥居本,豊郷,1
彦根,豊郷,21
ひこね芹川,豊郷,4
彦根口,豊郷,27
高宮,豊郷,5
スクリーン,豊郷,0
多賀大社前,豊郷,1
尼子,豊郷,3
豊郷,豊郷,0
愛知川,豊郷,7
五箇荘,豊郷,0
河辺の森,豊郷,0
八日市,豊郷,13
新八日市,豊郷,0
太郎坊宮前,豊郷,1
市辺,豊郷,1
平田,豊郷,0
武佐,豊郷,1
近江八幡,豊郷,7
長谷野,豊郷,0
大学前,豊郷,0
京セラ前,豊郷,0
桜川,豊郷,1
朝日大塚,豊郷,0
朝日野,豊郷,0
日野,豊郷,0
水口松尾,豊郷,0
水口,豊郷,0
水口石橋,豊郷,0
水口城南,豊郷,1
貴生川,豊郷,0
米原,愛知川,1
フジテック前,愛知川,0
鳥居本,愛知川,0
彦根,愛知川,14
ひこね芹川,愛知川,10
彦根口,愛知川,50
高宮,愛知川,18
スクリーン,愛知川,4
多賀大社前,愛知川,3
尼子,愛知川,10
豊郷,愛知川,5
愛知川,愛知川,0
五箇荘,愛知川,1
河辺の森,愛知川,1
八日市,愛知川,43
新八日市,愛知川,0
太郎坊宮前,愛知川,3
市辺,愛知川,0
平田,愛知川,2
武佐,愛知川,2
近江八幡,愛知川,11
長谷野,愛知川,1
大学前,愛知川,1
京セラ前,愛知川,1
桜川,愛知川,1
朝日大塚,愛知川,1
朝日野,愛知川,0
日野,愛知川,1
水口松尾,愛知川,0
水口,愛知川,4
水口石橋,愛知川,0
水口城南,愛知川,1
貴生川,愛知川,0
米原,五箇荘,0
フジテック前,五箇荘,1
鳥居本,五箇荘,0
彦根,五箇荘,3
ひこね芹川,五箇荘,1
彦根口,五箇荘,19
高宮,五箇荘,2
スクリーン,五箇荘,2
多賀大社前,五箇荘,0
尼子,五箇荘,1
豊郷,五箇荘,1
愛知川,五箇荘,0
五箇荘,五箇荘,0
河辺の森,五箇荘,0
八日市,五箇荘,7
新八日市,五箇荘,0
太郎坊宮前,五箇荘,0
市辺,五箇荘,0
平田,五箇荘,0
武佐,五箇荘,5
近江八幡,五箇荘,6
長谷野,五箇荘,0
大学前,五箇荘,0
京セラ前,五箇荘,0
桜川,五箇荘,0
朝日大塚,五箇荘,0
朝日野,五箇荘,0
日野,五箇荘,1
水口松尾,五箇荘,0
水口,五箇荘,0
水口石橋,五箇荘,0
水口城南,五箇荘,0
貴生川,五箇荘,3
米原,河辺の森,0
フジテック前,河辺の森,0
鳥居本,河辺の森,0
彦根,河辺の森,3
ひこね芹川,河辺の森,0
彦根口,河辺の森,1
高宮,河辺の森,1
スクリーン,河辺の森,0
多賀大社前,河辺の森,0
尼子,河辺の森,1
豊郷,河辺の森,0
愛知川,河辺の森,1
五箇荘,河辺の森,0
河辺の森,河辺の森,0
八日市,河辺の森,1
新八日市,河辺の森,0
太郎坊宮前,河辺の森,0
市辺,河辺の森,0
平田,河辺の森,0
武佐,河辺の森,0
近江八幡,河辺の森,1
長谷野,河辺の森,0
大学前,河辺の森,0
京セラ前,河辺の森,0
桜川,河辺の森,0
朝日大塚,河辺の森,0
朝日野,河辺の森,0
日野,河辺の森,0
水口松尾,河辺の森,0
水口,河辺の森,0
水口石橋,河辺の森,0
水口城南,河辺の森,0
貴生川,河辺の森,0
米原,八日市,6
フジテック前,八日市,0
鳥居本,八日市,0
彦根,八日市,51
ひこね芹川,八日市,20
彦根口,八日市,51
高宮,八日市,20
スクリーン,八日市,1
多賀大社前,八日市,1
尼子,八日市,17
豊郷,八日市,18
愛知川,八日市,28
五箇荘,八日市,8
河辺の森,八日市,0
八日市,八日市,0
新八日市,八日市,0
太郎坊宮前,八日市,4
市辺,八日市,12
平田,八日市,9
武佐,八日市,9
近江八幡,八日市,502
長谷野,八日市,3
大学前,八日市,2
京セラ前,八日市,21
桜川,八日市,14
朝日大塚,八日市,2
朝日野,八日市,4
日野,八日市,24
水口松尾,八日市,7
水口,八日市,25
水口石橋,八日市,1
水口城南,八日市,14
貴生川,八日市,14
米原,新八日市,0
フジテック前,新八日市,0
鳥居本,新八日市,0
彦根,新八日市,3
ひこね芹川,新八日市,0
彦根口,新八日市,1
高宮,新八日市,1
スクリーン,新八日市,0
多賀大社前,新八日市,0
尼子,新八日市,1
豊郷,新八日市,1
愛知川,新八日市,0
五箇荘,新八日市,0
河辺の森,新八日市,0
八日市,新八日市,0
新八日市,新八日市,0
太郎坊宮前,新八日市,0
市辺,新八日市,1
平田,新八日市,2
武佐,新八日市,7
近江八幡,新八日市,201
長谷野,新八日市,0
大学前,新八日市,0
京セラ前,新八日市,0
桜川,新八日市,0
朝日大塚,新八日市,0
朝日野,新八日市,0
日野,新八日市,0
水口松尾,新八日市,0
水口,新八日市,0
水口石橋,新八日市,0
水口城南,新八日市,0
貴生川,新八日市,0
米原,太郎坊宮前,0
フジテック前,太郎坊宮前,0
鳥居本,太郎坊宮前,0
彦根,太郎坊宮前,2
ひこね芹川,太郎坊宮前,0
彦根口,太郎坊宮前,1
高宮,太郎坊宮前,0
スクリーン,太郎坊宮前,0
多賀大社前,太郎坊宮前,0
尼子,太郎坊宮前,1
豊郷,太郎坊宮前,1
愛知川,太郎坊宮前,0
五箇荘,太郎坊宮前,0
河辺の森,太郎坊宮前,0
八日市,太郎坊宮前,5
新八日市,太郎坊宮前,0
太郎坊宮前,太郎坊宮前,0
市辺,太郎坊宮前,0
平田,太郎坊宮前,1
武佐,太郎坊宮前,2
近江八幡,太郎坊宮前,96
長谷野,太郎坊宮前,0
大学前,太郎坊宮前,0
京セラ前,太郎坊宮前,0
桜川,太郎坊宮前,0
朝日大塚,太郎坊宮前,0
朝日野,太郎坊宮前,0
日野,太郎坊宮前,0
水口松尾,太郎坊宮前,1
水口,太郎坊宮前,0
水口石橋,太郎坊宮前,0
水口城南,太郎坊宮前,1
貴生川,太郎坊宮前,1
米原,市辺,0
フジテック前,市辺,0
鳥居本,市辺,0
彦根,市辺,0
ひこね芹川,市辺,0
彦根口,市辺,1
高宮,市辺,0
スクリーン,市辺,0
多賀大社前,市辺,0
尼子,市辺,0
豊郷,市辺,0
愛知川,市辺,0
五箇荘,市辺,0
河辺の森,市辺,0
八日市,市辺,9
新八日市,市辺,0
太郎坊宮前,市辺,2
市辺,市辺,0
平田,市辺,0
武佐,市辺,1
近江八幡,市辺,108
長谷野,市辺,0
大学前,市辺,0
京セラ前,市辺,0
桜川,市辺,0
朝日大塚,市辺,0
朝日野,市辺,0
日野,市辺,0
水口松尾,市辺,0
水口,市辺,0
水口石橋,市辺,0
水口城南,市辺,0
貴生川,市辺,0
米原,平田,0
フジテック前,平田,0
鳥居本,平田,0
彦根,平田,0
ひこね芹川,平田,0
彦根口,平田,0
高宮,平田,0
スクリーン,平田,0
多賀大社前,平田,0
尼子,平田,1
豊郷,平田,0
愛知川,平田,2
五箇荘,平田,0
河辺の森,平田,0
八日市,平田,7
新八日市,平田,0
太郎坊宮前,平田,1
市辺,平田,1
平田,平田,0
武佐,平田,0
近江八幡,平田,68
長谷野,平田,0
大学前,平田,0
京セラ前,平田,0
桜川,平田,0
朝日大塚,平田,1
朝日野,平田,0
日野,平田,1
水口松尾,平田,0
水口,平田,0
水口石橋,平田,0
水口城南,平田,0
貴生川,平田,0
米原,武佐,0
フジテック前,武佐,0
鳥居本,武佐,0
彦根,武佐,0
ひこね芹川,武佐,0
彦根口,武佐,0
高宮,武佐,0
スクリーン,武佐,0
多賀大社前,武佐,0
尼子,武佐,0
豊郷,武佐,1
愛知川,武佐,0
五箇荘,武佐,3
河辺の森,武佐,0
八日市,武佐,6
新八日市,武佐,5
太郎坊宮前,武佐,2
市辺,武佐,1
平田,武佐,0
武佐,武佐,0
近江八幡,武佐,142
長谷野,武佐,0
大学前,武佐,0
京セラ前,武佐,0
桜川,武佐,0
朝日大塚,武佐,0
朝日野,武佐,0
日野,武佐,0
水口松尾,武佐,0
水口,武佐,0
水口石橋,武佐,0
水口城南,武佐,0
貴生川,武佐,0
米原,近江八幡,0
フジテック前,近江八幡,0
鳥居本,近江八幡,0
彦根,近江八幡,2
ひこね芹川,近江八幡,0
彦根口,近江八幡,1
高宮,近江八幡,2
スクリーン,近江八幡,0
多賀大社前,近江八幡,3
尼子,近江八幡,3
豊郷,近江八幡,4
愛知川,近江八幡,12
五箇荘,近江八幡,9
河辺の森,近江八幡,1
八日市,近江八幡,538
新八日市,近江八幡,147
太郎坊宮前,近江八幡,95
市辺,近江八幡,99
平田,近江八幡,63
武佐,近江八幡,185
近江八幡,近江八幡,0
長谷野,近江八幡,2
大学前,近江八幡,4
京セラ前,近江八幡,6
桜川,近江八幡,2
朝日大塚,近江八幡,1
朝日野,近江八幡,0
日野,近江八幡,2
水口松尾,近江八幡,0
水口,近江八幡,2
水口石橋,近江八幡,0
水口城南,近江八幡,1
貴生川,近江八幡,1
米原,長谷野,0
フジテック前,長谷野,0
鳥居本,長谷野,0
彦根,長谷野,0
ひこね芹川,長谷野,0
彦根口,長谷野,2
高宮,長谷野,0
スクリーン,長谷野,0
多賀大社前,長谷野,0
尼子,長谷野,0
豊郷,長谷野,0
愛知川,長谷野,0
五箇荘,長谷野,0
河辺の森,長谷野,0
八日市,長谷野,1
新八日市,長谷野,0
太郎坊宮前,長谷野,0
市辺,長谷野,0
平田,長谷野,0
武佐,長谷野,0
近江八幡,長谷野,0
長谷野,長谷野,0
大学前,長谷野,0
京セラ前,長谷野,0
桜川,長谷野,0
朝日大塚,長谷野,1
朝日野,長谷野,1
日野,長谷野,12
水口松尾,長谷野,0
水口,長谷野,13
水口石橋,長谷野,1
水口城南,長谷野,6
貴生川,長谷野,0
米原,大学前,0
フジテック前,大学前,0
鳥居本,大学前,0
彦根,大学前,0
ひこね芹川,大学前,0
彦根口,大学前,0
高宮,大学前,1
スクリーン,大学前,0
多賀大社前,大学前,0
尼子,大学前,0
豊郷,大学前,0
愛知川,大学前,0
五箇荘,大学前,0
河辺の森,大学前,0
八日市,大学前,4
新八日市,大学前,0
太郎坊宮前,大学前,1
市辺,大学前,0
平田,大学前,0
武佐,大学前,0
近江八幡,大学前,6
長谷野,大学前,0
大学前,大学前,0
京セラ前,大学前,0
桜川,大学前,2
朝日大塚,大学前,1
朝日野,大学前,0
日野,大学前,2
水口松尾,大学前,1
水口,大学前,3
水口石橋,大学前,2
水口城南,大学前,5
貴生川,大学前,2
米原,京セラ前,0
フジテック前,京セラ前,0
鳥居本,京セラ前,0
彦根,京セラ前,0
ひこね芹川,京セラ前,0
彦根口,京セラ前,2
高宮,京セラ前,0
スクリーン,京セラ前,0
多賀大社前,京セラ前,0
尼子,京セラ前,0
豊郷,京セラ前,0
愛知川,京セラ前,0
五箇荘,京セラ前,0
河辺の森,京セラ前,0
八日市,京セラ前,16
新八日市,京セラ前,0
太郎坊宮前,京セラ前,0
市辺,京セラ前,0
平田,京セラ前,0
武佐,京セラ前,0
近江八幡,京セラ前,10
長谷野,京セラ前,0
大学前,京セラ前,0
京セラ前,京セラ前,0
桜川,京セラ前,0
朝日大塚,京セラ前,0
朝日野,京セラ前,0
日野,京セラ前,0
水口松尾,京セラ前,1
水口,京セラ前,2
水口石橋,京セラ前,0
水口城南,京セラ前,1
貴生川,京セラ前,0
米原,桜川,0
フジテック前,桜川,1
鳥居本,桜川,0
彦根,桜川,5
ひこね芹川,桜川,0
彦根口,桜川,1
高宮,桜川,0
スクリーン,桜川,0
多賀大社前,桜川,0
尼子,桜川,0
豊郷,桜川,1
愛知川,桜川,0
五箇荘,桜川,0
河辺の森,桜川,0
八日市,桜川,26
新八日市,桜川,0
太郎坊宮前,桜川,0
市辺,桜川,0
平田,桜川,0
武佐,桜川,0
近江八幡,桜川,5
長谷野,桜川,0
大学前,桜川,5
京セラ前,桜川,0
桜川,桜川,0
朝日大塚,桜川,0
朝日野,桜川,1
日野,桜川,4
水口松尾,桜川,0
水口,桜川,6
水口石橋,桜川,0
水口城南,桜川,8
貴生川,桜川,2
米原,朝日大塚,0
フジテック前,朝日大塚,0
鳥居本,朝日大塚,0
彦根,朝日大塚,1
ひこね芹川,朝日大塚,0
彦根口,朝日大塚,0
高宮,朝日大塚,0
スクリーン,朝日大塚,0
多賀大社前,朝日大塚,0
尼子,朝日大塚,0
豊郷,朝日大塚,0
愛知川,朝日大塚,1
五箇荘,朝日大塚,0
河辺の森,朝日大塚,0
八日市,朝日大塚,4
新八日市,朝日大塚,0
太郎坊宮前,朝日大塚,0
市辺,朝日大塚,0
平田,朝日大塚,1
武佐,朝日大塚,0
近江八幡,朝日大塚,1
長谷野,朝日大塚,0
大学前,朝日大塚,1
京セラ前,朝日大塚,0
桜川,朝日大塚,1
朝日大塚,朝日大塚,0
朝日野,朝日大塚,0
日野,朝日大塚,1
水口松尾,朝日大塚,0
水口,朝日大塚,13
水口石橋,朝日大塚,0
水口城南,朝日大塚,21
貴生川,朝日大塚,2
米原,朝日野,0
フジテック前,朝日野,0
鳥居本,朝日野,0
彦根,朝日野,1
ひこね芹川,朝日野,0
彦根口,朝日野,0
高宮,朝日野,0
スクリーン,朝日野,0
多賀大社前,朝日野,0
尼子,朝日野,1
豊郷,朝日野,0
愛知川,朝日野,1
五箇荘,朝日野,0
河辺の森,朝日野,0
八日市,朝日野,3
新八日市,朝日野,0
太郎坊宮前,朝日野,0
市辺,朝日野,0
平田,朝日野,0
武佐,朝日野,0
近江八幡,朝日野,0
長谷野,朝日野,0
大学前,朝日野,0
京セラ前,朝日野,0
桜川,朝日野,1
朝日大塚,朝日野,0
朝日野,朝日野,0
日野,朝日野,0
水口松尾,朝日野,0
水口,朝日野,3
水口石橋,朝日野,0
水口城南,朝日野,0
貴生川,朝日野,0
米原,日野,0
フジテック前,日野,0
鳥居本,日野,0
彦根,日野,6
ひこね芹川,日野,1
彦根口,日野,2
高宮,日野,0
スクリーン,日野,1
多賀大社前,日野,0
尼子,日野,0
豊郷,日野,1
愛知川,日野,0
五箇荘,日野,1
河辺の森,日野,0
八日市,日野,50
新八日市,日野,0
太郎坊宮前,日野,0
市辺,日野,0
平田,日野,1
武佐,日野,0
近江八幡,日野,1
長谷野,日野,13
大学前,日野,6
京セラ前,日野,0
桜川,日野,6
朝日大塚,日野,3
朝日野,日野,0
日野,日野,0
水口松尾,日野,13
水口,日野,65
水口石橋,日野,7
水口城南,日野,42
貴生川,日野,43
米原,水口松尾,0
フジテック前,水口松尾,0
鳥居本,水口松尾,0
彦根,水口松尾,1
ひこね芹川,水口松尾,0
彦根口,水口松尾,0
高宮,水口松尾,1
スクリーン,水口松尾,0
多賀大社前,水口松尾,0
尼子,水口松尾,0
豊郷,水口松尾,0
愛知川,水口松尾,0
五箇荘,水口松尾,0
河辺の森,水口松尾,0
八日市,水口松尾,4
新八日市,水口松尾,0
太郎坊宮前,水口松尾,0
市辺,水口松尾,0
平田,水口松尾,0
武佐,水口松尾,0
